Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
08NM070,"RIDDLE CREEK NEAR WEST SUMMERLAND",BC,Discontinued,49.50833,-119.79167,1930,1931,"33.4",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM071,"OKANAGAN LAKE AT PENTICTON",BC,Discontinued,49.50167,-119.61083,1920,1974,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM072,"OKANOGAN RIVER NEAR TONASKET",BC,Discontinued,48.63333,-119.46389,1929,1965,"18900",,R,Flow,Continuous,N,N,N,,VANCOUVER,"",N
08NM073,"OSOYOOS LAKE NEAR OROVILLE",BC,Active,48.95667,-119.43833,1930,2024,"",,R,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"WATER SURVEY OF CANADA (DOE) (CANADA)",N
08NM074,"ELLIS CREEK NEAR PENTICTON",BC,Discontinued,49.47083,-119.38667,1955,1955,"51.9",,N,Flow,Miscellaneous,N,N,N,,VANCOUVER,"",N
08NM075,"DEEP CREEK NEAR VERNON (STATION NO. 3)",BC,Discontinued,50.36389,-119.28194,1930,1967,"207",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM076,"PENTICTON CREEK ABOVE DIVERSION",BC,Discontinued,49.49167,-119.55278,1936,1941,"",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM082,"INKANEEP CREEK NEAR OLIVER (UPPER STATION)",BC,Discontinued,49.11944,-119.36111,1977,1977,"70.4",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM083,"OKANAGAN LAKE AT KELOWNA",BC,Active,49.88613,-119.49966,1943,2024,"",,R,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM084,"SKAHA LAKE AT OKANAGAN FALLS",BC,Active,49.42642,-119.57508,1943,2024,"",,R,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM085,"OKANAGAN RIVER NEAR OLIVER",BC,Active,49.11462,-119.56665,1945,2024,"7540",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM113,"OSOYOOS LAKE NEAR OSOYOOS",BC,Discontinued,49.02861,-119.46028,1977,2004,"",,R,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,VANCOUVER,"",N
08NM114,"OLIVER CANAL NEAR OLIVER",BC,Discontinued,49.25417,-119.52500,1949,1972,"",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM116,"MISSION CREEK NEAR EAST KELOWNA",BC,Active,49.87793,-119.41347,1967,2024,"795",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM117,"KELOWNA CREEK AT RUTLAND STATION",BC,Discontinued,49.91806,-119.39194,1970,1975,"162",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM118,"PENTICTON CREEK AT THE MOUTH",BC,Discontinued,49.49639,-119.58389,1969,1972,"177",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM119,"DEEP CREEK AT ARMSTRONG",BC,Discontinued,50.44611,-119.20444,1960,1982,"135",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM120,"PARK RILL NEAR OLIVER",BC,Discontinued,49.23611,-119.57222,1951,1970,"160",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM121,"WOLFCUB CREEK NEAR OLIVER",BC,Discontinued,49.18111,-119.52917,1952,1952,"68.6",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM122,"ELLIS CREEK NORTH MAIN DIVERSION",BC,Discontinued,49.48056,-119.56250,1955,1957,"",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM123,"B.X. CREEK BELOW SWAN LAKE CONTROL DAM",BC,Discontinued,50.27833,-119.27500,1959,1978,"120",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM124,"COLDSTREAM CREEK NEAR LAVINGTON",BC,Discontinued,50.24861,-119.07500,1965,1979,"61.9",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM125,"B.X. CREEK ABOVE SWAN LAKE CONTROL DAM",BC,Discontinued,50.29306,-119.26250,1959,1979,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM126,"HAYNES CREEK NEAR OSOYOOS",BC,Discontinued,49.02417,-119.38583,1959,1964,"17.6",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM127,"OKANOGAN RIVER AT OROVILLE",BC,Active,48.93083,-119.41917,1942,2024,"8210",,R,Flow,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"WATER SURVEY OF CANADA (DOE) (CANADA)",N
